Entity,Code,Year,Social Expenditure %GDP - (OWID extrapolated series) (%)
Belgium,BEL,1985,25.552
Belgium,BEL,1990,24.417
Belgium,BEL,1995,25.169
Belgium,BEL,2000,23.5
Belgium,BEL,2005,25.27
Belgium,BEL,2010,28.302
Belgium,BEL,2013,29.324
Belgium,BEL,2014,29.174
Belgium,BEL,2015,29.17
Belgium,BEL,2016,29.005
Canada,CAN,1880,0
Canada,CAN,1890,0
Canada,CAN,1900,0
Canada,CAN,1910,0
Canada,CAN,1920,0.06
Canada,CAN,1930,0.31
Canada,CAN,1960,8.117736532
Canada,CAN,1961,8.396542221
Canada,CAN,1962,8.357319358
Canada,CAN,1963,8.290315209
Canada,CAN,1964,8.196586418
Canada,CAN,1965,7.937770546
Canada,CAN,1966,8.075592063
Canada,CAN,1967,8.829456762
Canada,CAN,1968,9.369240535
Canada,CAN,1969,9.720853383
Canada,CAN,1970,10.48436839
Canada,CAN,1971,11.36838633
Canada,CAN,1972,12.12909131
Canada,CAN,1973,12.14316779
Canada,CAN,1974,12.53374604
Canada,CAN,1975,13.67648823
Canada,CAN,1976,13.37451818
Canada,CAN,1977,13.595433
Canada,CAN,1978,13.39408899
Canada,CAN,1979,12.90118654
Canada,CAN,1980,13.306
Canada,CAN,1985,16.418
Canada,CAN,1990,17.546
Canada,CAN,1995,18.354
Canada,CAN,2000,15.763
Canada,CAN,2005,16.138
Canada,CAN,2010,17.547
Canada,CAN,2013,16.878
Canada,CAN,2014,16.818
Canada,CAN,2015,17.213
Chile,CHL,1990,9.83
Chile,CHL,1995,11.014
Chile,CHL,2000,12.737
Chile,CHL,2005,8.692
Chile,CHL,2010,10.466
Chile,CHL,2013,10.002
Chile,CHL,2014,10.52
Chile,CHL,2015,11.18
Czech Republic,CZE,1990,14.169
Czech Republic,CZE,1995,16.129
Czech Republic,CZE,2000,17.962
Czech Republic,CZE,2005,18.112
Czech Republic,CZE,2010,19.766
Czech Republic,CZE,2013,20.261
Czech Republic,CZE,2014,19.897
Czech Republic,CZE,2015,19.475
Czech Republic,CZE,2016,19.437
Denmark,DNK,1880,0.96
Denmark,DNK,1890,1.11
Denmark,DNK,1900,1.41
Denmark,DNK,1910,1.75
Denmark,DNK,1920,2.71
Denmark,DNK,1930,3.11
Denmark,DNK,1960,9.46270583
Denmark,DNK,1970,14.76521717
Denmark,DNK,1971,15.53662405
Denmark,DNK,1972,15.66169698
Denmark,DNK,1973,15.56647099
Denmark,DNK,1974,17.52376389
Denmark,DNK,1975,18.72106353
Denmark,DNK,1976,18.01916598
Denmark,DNK,1977,18.35230368
Denmark,DNK,1978,19.23045696
Denmark,DNK,1979,19.7745319
Denmark,DNK,1980,20.334
Denmark,DNK,1985,19.294
Denmark,DNK,1990,21.973
Denmark,DNK,1995,25.513
Denmark,DNK,2000,23.765
Denmark,DNK,2005,25.186
Denmark,DNK,2010,28.941
Denmark,DNK,2013,29.017
Denmark,DNK,2014,29.001
Denmark,DNK,2015,28.814
Denmark,DNK,2016,28.677
Estonia,EST,2000,13.816
Estonia,EST,2005,12.97
Estonia,EST,2010,18.321
Estonia,EST,2013,15.871
Estonia,EST,2014,15.977
Estonia,EST,2015,17.037
Estonia,EST,2016,17.427
Finland,FIN,1880,0.66
Finland,FIN,1890,0.76
Finland,FIN,1900,0.78
Finland,FIN,1910,0.9
Finland,FIN,1920,0.85
Finland,FIN,1930,2.97
Finland,FIN,1960,8.144340766
Finland,FIN,1961,8.407883875
Finland,FIN,1962,8.895144773
Finland,FIN,1963,9.06119164
Finland,FIN,1964,9.490408028
Finland,FIN,1965,10.27865087
Finland,FIN,1966,11.16363935
Finland,FIN,1967,11.90990932
Finland,FIN,1968,12.58923258
Finland,FIN,1969,12.37661529
Finland,FIN,1970,12.53344597
Finland,FIN,1971,13.34528936
Finland,FIN,1972,13.99794372
Finland,FIN,1973,13.64675671
Finland,FIN,1974,13.9516556
Finland,FIN,1975,15.4373571
Finland,FIN,1976,17.04886543
Finland,FIN,1977,18.45034185
Finland,FIN,1978,18.74081587
Finland,FIN,1979,17.82869989
Finland,FIN,1980,17.742
Finland,FIN,1985,21.663
Finland,FIN,1990,23.318
Finland,FIN,1995,28.902
Finland,FIN,2000,22.648
Finland,FIN,2005,23.927
Finland,FIN,2010,27.417
Finland,FIN,2013,29.482
Finland,FIN,2014,30.177
Finland,FIN,2015,30.575
Finland,FIN,2016,30.783
France,FRA,1880,0.46
France,FRA,1890,0.54
France,FRA,1900,0.57
France,FRA,1910,0.81
France,FRA,1920,0.64
France,FRA,1930,1.05
France,FRA,1960,12.03809709
France,FRA,1970,14.96240384
France,FRA,1975,16.46679708
France,FRA,1976,18.09021481
France,FRA,1977,18.59166897
France,FRA,1978,19.45212529
France,FRA,1979,19.72334639
France,FRA,1980,20.232
France,FRA,1985,25.245
France,FRA,1990,24.28
France,FRA,1995,28.332
France,FRA,2000,27.495
France,FRA,2005,28.694
France,FRA,2010,30.664
France,FRA,2013,31.493
France,FRA,2014,31.938
France,FRA,2015,31.685
France,FRA,2016,31.548
Germany,DEU,1880,0.5
Germany,DEU,1890,0.53
Germany,DEU,1900,0.59
Germany,DEU,1930,4.82
Germany,DEU,1960,15.36900429
Germany,DEU,1961,15.30499905
Germany,DEU,1962,15.38823514
Germany,DEU,1963,15.82884552
Germany,DEU,1964,15.3544809
Germany,DEU,1965,16.08403345
Germany,DEU,1966,16.29368853
Germany,DEU,1967,17.68985237
Germany,DEU,1968,17.47866871
Germany,DEU,1969,16.95038312
Germany,DEU,1970,16.56899836
Germany,DEU,1971,17.31586635
Germany,DEU,1972,17.96411868
Germany,DEU,1973,18.29670434
Germany,DEU,1974,19.96037785
Germany,DEU,1975,23.05745714
Germany,DEU,1976,22.73042441
Germany,DEU,1977,22.57739198
Germany,DEU,1978,22.02451057
Germany,DEU,1979,21.58779659
Germany,DEU,1980,21.788
Germany,DEU,1985,22.228
Germany,DEU,1990,21.354
Germany,DEU,1995,25.225
Germany,DEU,2000,25.405
Germany,DEU,2005,26.279
Germany,DEU,2010,25.922
Germany,DEU,2013,24.758
Germany,DEU,2014,24.851
Germany,DEU,2015,24.964
Germany,DEU,2016,25.289
Greece,GRC,1880,0
Greece,GRC,1890,0
Greece,GRC,1900,0
Greece,GRC,1910,0
Greece,GRC,1920,0
Greece,GRC,1930,0.07
Greece,GRC,1960,6.097022902
Greece,GRC,1961,6.15928405
Greece,GRC,1962,6.292460982
Greece,GRC,1963,6.584765475
Greece,GRC,1964,6.822277068
Greece,GRC,1965,7.283308689
Greece,GRC,1966,7.61670586
Greece,GRC,1967,8.162280081
Greece,GRC,1968,8.433565012
Greece,GRC,1969,8.089454234
Greece,GRC,1970,8.047091117
Greece,GRC,1971,8.091215174
Greece,GRC,1972,7.736204272
Greece,GRC,1973,7.009729518
Greece,GRC,1974,7.452637313
Greece,GRC,1975,7.713039336
Greece,GRC,1976,8.067154378
Greece,GRC,1977,8.86498118
Greece,GRC,1978,9.495982219
Greece,GRC,1979,9.30247371
Greece,GRC,1980,9.856
Greece,GRC,1985,15.368
Greece,GRC,1990,15.721
Greece,GRC,1995,16.6
Greece,GRC,2000,18.383
Greece,GRC,2005,20.422
Greece,GRC,2010,23.826
Greece,GRC,2013,26.04
Greece,GRC,2014,26.077
Greece,GRC,2015,26.387
Greece,GRC,2016,27.026
Hungary,HUN,2000,20.113
Hungary,HUN,2005,21.857
Hungary,HUN,2010,23.038
Hungary,HUN,2013,22.108
Hungary,HUN,2014,21.373
Hungary,HUN,2015,20.672
Hungary,HUN,2016,20.604
Iceland,ISL,1990,13.186
Iceland,ISL,1995,14.71
Iceland,ISL,2000,14.631
Iceland,ISL,2005,15.893
Iceland,ISL,2010,16.996
Iceland,ISL,2013,16.603
Iceland,ISL,2014,16.677
Iceland,ISL,2015,15.674
Iceland,ISL,2016,15.214
Ireland,IRL,1930,3.74
Ireland,IRL,1960,7.09439486
Ireland,IRL,1961,7.201331148
Ireland,IRL,1962,7.295329497
Ireland,IRL,1963,7.618721078
Ireland,IRL,1964,7.518391755
Ireland,IRL,1965,7.826963533
Ireland,IRL,1966,8.485709893
Ireland,IRL,1967,8.68570303
Ireland,IRL,1968,8.471068908
Ireland,IRL,1969,8.899226589
Ireland,IRL,1970,9.6976489
Ireland,IRL,1971,10.23535483
Ireland,IRL,1972,10.10304491
Ireland,IRL,1973,10.98795601
Ireland,IRL,1974,12.38090535
Ireland,IRL,1975,13.91089618
Ireland,IRL,1976,13.7971166
Ireland,IRL,1977,13.33237617
Ireland,IRL,1978,13.37824249
Ireland,IRL,1979,13.79136835
Ireland,IRL,1980,15.657
Ireland,IRL,1985,20.369
Ireland,IRL,1990,16.839
Ireland,IRL,1995,17.543
Ireland,IRL,2000,12.567
Ireland,IRL,2005,14.879
Ireland,IRL,2010,22.389
Ireland,IRL,2013,20.229
Ireland,IRL,2014,19.161
Ireland,IRL,2015,16.971
Ireland,IRL,2016,16.105
Israel,ISR,1995,17.006
Israel,ISR,2000,17.005
Israel,ISR,2005,16.3
Israel,ISR,2010,16.035
Israel,ISR,2013,16.116
Israel,ISR,2014,16.241
Israel,ISR,2015,16.046
Israel,ISR,2016,16.098
Italy,ITA,1880,0
Italy,ITA,1890,0
Italy,ITA,1900,0
Italy,ITA,1910,0
Italy,ITA,1920,0
Italy,ITA,1930,0.08
Italy,ITA,1960,10.71713342
Italy,ITA,1961,10.49876261
Italy,ITA,1962,11.32295597
Italy,ITA,1963,11.66436058
Italy,ITA,1964,11.73358679
Italy,ITA,1965,13.22655893
Italy,ITA,1966,13.35978202
Italy,ITA,1967,13.25533354
Italy,ITA,1968,13.55326517
Italy,ITA,1969,13.91295942
Italy,ITA,1970,13.87869274
Italy,ITA,1971,14.84257901
Italy,ITA,1972,15.89002003
Italy,ITA,1973,15.64472293
Italy,ITA,1974,15.81899366
Italy,ITA,1975,17.21296682
Italy,ITA,1976,17.25647171
Italy,ITA,1977,16.63989902
Italy,ITA,1978,18.00924475
Italy,ITA,1979,17.3667989
Italy,ITA,1980,17.379
Italy,ITA,1985,20.113
Italy,ITA,1990,20.652
Italy,ITA,1995,20.957
Italy,ITA,2000,22.637
Italy,ITA,2005,24.095
Italy,ITA,2010,27.629
Italy,ITA,2013,28.619
Italy,ITA,2014,28.972
Italy,ITA,2015,28.917
Italy,ITA,2016,28.871
Japan,JPN,1880,0.05
Japan,JPN,1890,0.11
Japan,JPN,1900,0.17
Japan,JPN,1910,0.18
Japan,JPN,1920,0.18
Japan,JPN,1930,0.21
Japan,JPN,1960,3.470812182
Japan,JPN,1961,3.925302951
Japan,JPN,1962,4.19093792
Japan,JPN,1963,4.371477729
Japan,JPN,1964,4.420922763
Japan,JPN,1965,4.722153496
Japan,JPN,1966,4.777126347
Japan,JPN,1967,4.830765969
Japan,JPN,1968,4.768017334
Japan,JPN,1969,4.670731789
Japan,JPN,1970,4.90989891
Japan,JPN,1971,5.132696242
Japan,JPN,1972,5.547535334
Japan,JPN,1973,5.729202871
Japan,JPN,1974,6.936385678
Japan,JPN,1975,7.992115301
Japan,JPN,1976,8.611482114
Japan,JPN,1977,8.946610719
Japan,JPN,1978,9.623850053
Japan,JPN,1979,9.933519057
Japan,JPN,1980,10.244
Japan,JPN,1985,11.068
Japan,JPN,1990,11.107
Japan,JPN,1995,14.055
Japan,JPN,2000,16.269
Japan,JPN,2005,18.152
Japan,JPN,2010,22.074
Japan,JPN,2013,23.06
Latvia,LVA,1995,0
Latvia,LVA,2000,14.841
Latvia,LVA,2005,12.205
Latvia,LVA,2010,18.711
Latvia,LVA,2013,14.377
Latvia,LVA,2014,14.227
Latvia,LVA,2015,14.415
Latvia,LVA,2016,14.46
Luxembourg,LUX,1980,19.222
Luxembourg,LUX,1985,18.729
Luxembourg,LUX,1990,18.147
Luxembourg,LUX,1995,19.685
Luxembourg,LUX,2000,18.601
Luxembourg,LUX,2005,22.392
Luxembourg,LUX,2010,22.91
Luxembourg,LUX,2013,23.233
Luxembourg,LUX,2014,23.004
Luxembourg,LUX,2015,22.184
Luxembourg,LUX,2016,21.8
Mexico,MEX,1980,..
Mexico,MEX,1985,1.703
Mexico,MEX,1990,3.17
Mexico,MEX,1995,4.124
Mexico,MEX,2000,4.778
Mexico,MEX,2005,6.283
Mexico,MEX,2010,7.495
Netherlands,NLD,1880,0.29
Netherlands,NLD,1890,0.3
Netherlands,NLD,1900,0.39
Netherlands,NLD,1910,0.39
Netherlands,NLD,1920,0.99
Netherlands,NLD,1930,1.03
Netherlands,NLD,1960,9.604045445
Netherlands,NLD,1961,10.40763334
Netherlands,NLD,1962,11.12187603
Netherlands,NLD,1963,12.81986312
Netherlands,NLD,1964,12.92968082
Netherlands,NLD,1965,14.04922895
Netherlands,NLD,1966,15.21529189
Netherlands,NLD,1967,16.22932575
Netherlands,NLD,1968,16.81327998
Netherlands,NLD,1969,17.64982788
Netherlands,NLD,1970,18.42703498
Netherlands,NLD,1971,19.18258854
Netherlands,NLD,1972,19.96527057
Netherlands,NLD,1973,20.5507956
Netherlands,NLD,1974,21.91989118
Netherlands,NLD,1975,24.26125453
Netherlands,NLD,1976,24.30077343
Netherlands,NLD,1977,20.96819799
Netherlands,NLD,1978,21.83820323
Netherlands,NLD,1979,22.5536143
Netherlands,NLD,1980,23.261
Netherlands,NLD,1985,23.78
Netherlands,NLD,1990,23.989
Netherlands,NLD,1995,22.339
Netherlands,NLD,2000,18.404
Netherlands,NLD,2005,20.489
Netherlands,NLD,2010,22.087
Netherlands,NLD,2013,22.879
Netherlands,NLD,2014,22.661
Netherlands,NLD,2015,22.313
Netherlands,NLD,2016,22.006
New Zealand,NZL,1880,0.17
New Zealand,NZL,1890,0.39
New Zealand,NZL,1900,1.09
New Zealand,NZL,1910,1.35
New Zealand,NZL,1920,1.84
New Zealand,NZL,1930,2.43
New Zealand,NZL,1960,11.40733281
New Zealand,NZL,1961,11.31475973
New Zealand,NZL,1962,11.57334823
New Zealand,NZL,1963,11.00763835
New Zealand,NZL,1964,10.77076614
New Zealand,NZL,1965,10.55456804
New Zealand,NZL,1966,10.76277487
New Zealand,NZL,1967,11.11255642
New Zealand,NZL,1968,10.85267948
New Zealand,NZL,1969,10.50059338
New Zealand,NZL,1970,10.14585955
New Zealand,NZL,1971,9.966974145
New Zealand,NZL,1972,11.042047
New Zealand,NZL,1973,11.57058034
New Zealand,NZL,1974,12.1741924
New Zealand,NZL,1975,12.9668692
New Zealand,NZL,1976,13.35496148
New Zealand,NZL,1977,15.75486853
New Zealand,NZL,1978,16.35007378
New Zealand,NZL,1979,16.19167708
New Zealand,NZL,1980,16.744
New Zealand,NZL,1985,17.127
New Zealand,NZL,1990,20.535
New Zealand,NZL,1995,17.904
New Zealand,NZL,2000,18.457
New Zealand,NZL,2005,17.809
New Zealand,NZL,2010,20.251
New Zealand,NZL,2013,19.275
New Zealand,NZL,2014,19.371
New Zealand,NZL,2015,19.667
Norway,NOR,1880,1.07
Norway,NOR,1890,0.95
Norway,NOR,1900,1.24
Norway,NOR,1910,1.18
Norway,NOR,1920,1.09
Norway,NOR,1930,2.39
Norway,NOR,1960,6.030845779
Norway,NOR,1961,6.224853234
Norway,NOR,1962,6.779611853
Norway,NOR,1963,7.106425371
Norway,NOR,1964,7.330135145
Norway,NOR,1965,7.797818829
Norway,NOR,1966,8.597698247
Norway,NOR,1967,9.164308272
Norway,NOR,1968,9.670078428
Norway,NOR,1969,10.32190022
Norway,NOR,1970,12.38833063
Norway,NOR,1971,13.36577297
Norway,NOR,1972,14.33363533
Norway,NOR,1973,14.65131267
Norway,NOR,1974,14.32374614
Norway,NOR,1975,14.97422503
Norway,NOR,1976,15.53919793
Norway,NOR,1977,15.91662478
Norway,NOR,1978,16.71197679
Norway,NOR,1979,16.92743664
Norway,NOR,1980,16.121
Norway,NOR,1985,17.198
Norway,NOR,1990,21.55
Norway,NOR,1995,22.474
Norway,NOR,2000,20.402
Norway,NOR,2005,20.749
Norway,NOR,2010,21.916
Norway,NOR,2013,21.765
Norway,NOR,2014,22.448
Norway,NOR,2015,23.909
Norway,NOR,2016,25.075
Poland,POL,1990,14.592
Poland,POL,1995,21.832
Poland,POL,2000,20.221
Poland,POL,2005,20.878
Poland,POL,2010,20.632
Poland,POL,2013,19.57
Poland,POL,2014,19.489
Poland,POL,2015,19.419
Poland,POL,2016,20.214
Portugal,PRT,1880,0
Portugal,PRT,1890,0
Portugal,PRT,1900,0
Portugal,PRT,1910,0
Portugal,PRT,1920,0
Portugal,PRT,1930,0
Portugal,PRT,1980,9.513
Portugal,PRT,1985,9.829
Portugal,PRT,1990,12.224
Portugal,PRT,1995,16.016
Portugal,PRT,2000,18.513
Portugal,PRT,2005,22.329
Portugal,PRT,2010,24.482
Portugal,PRT,2013,25.497
Portugal,PRT,2014,24.523
Portugal,PRT,2015,24.1
Portugal,PRT,2016,24.113
Slovakia,SVK,1995,18.403
Slovakia,SVK,2000,17.55
Slovakia,SVK,2005,15.834
Slovakia,SVK,2010,18.051
Slovakia,SVK,2013,18.103
Slovakia,SVK,2014,19.318
Slovakia,SVK,2015,19.408
Slovakia,SVK,2016,18.598
Slovenia,SVN,1995,5.702
Slovenia,SVN,2000,22.372
Slovenia,SVN,2005,21.441
Slovenia,SVN,2010,23.397
Slovenia,SVN,2013,23.978
Slovenia,SVN,2014,23.081
Slovenia,SVN,2015,22.362
Slovenia,SVN,2016,22.834
South Korea,KOR,1990,2.682
South Korea,KOR,1995,3.071
South Korea,KOR,2000,4.525
South Korea,KOR,2005,6.115
South Korea,KOR,2010,8.283
South Korea,KOR,2013,9.332
South Korea,KOR,2014,9.718
South Korea,KOR,2015,10.108
South Korea,KOR,2016,10.359
Spain,ESP,1880,0
Spain,ESP,1890,0
Spain,ESP,1900,0
Spain,ESP,1910,0.02
Spain,ESP,1920,0.04
Spain,ESP,1930,0.07
Spain,ESP,1980,14.984
Spain,ESP,1985,17.14
Spain,ESP,1990,19.196
Spain,ESP,1995,20.687
Spain,ESP,2000,19.481
Spain,ESP,2005,20.407
Spain,ESP,2010,25.839
Spain,ESP,2013,26.28
Spain,ESP,2014,26.069
Spain,ESP,2015,25.371
Spain,ESP,2016,24.61
Sweden,SWE,1880,0.72
Sweden,SWE,1890,0.85
Sweden,SWE,1900,0.85
Sweden,SWE,1910,1.03
Sweden,SWE,1920,1.14
Sweden,SWE,1930,2.59
Sweden,SWE,1960,10.371663
Sweden,SWE,1961,10.31828846
Sweden,SWE,1962,10.64236657
Sweden,SWE,1963,11.87388551
Sweden,SWE,1964,11.97488602
Sweden,SWE,1965,12.62406682
Sweden,SWE,1966,13.45810834
Sweden,SWE,1967,14.58088282
Sweden,SWE,1968,15.6460699
Sweden,SWE,1969,15.81166011
Sweden,SWE,1970,16.05500312
Sweden,SWE,1971,17.59211005
Sweden,SWE,1972,17.60745739
Sweden,SWE,1973,17.62963126
Sweden,SWE,1974,20.16717138
Sweden,SWE,1975,20.2679074
Sweden,SWE,1976,21.20627974
Sweden,SWE,1977,23.46314589
Sweden,SWE,1978,24.13642272
Sweden,SWE,1979,24.08259006
Sweden,SWE,1980,24.847
Sweden,SWE,1985,26.967
Sweden,SWE,1990,27.237
Sweden,SWE,1995,30.561
Sweden,SWE,2000,26.773
Sweden,SWE,2005,27.351
Sweden,SWE,2010,26.268
Sweden,SWE,2013,27.386
Sweden,SWE,2014,27.136
Sweden,SWE,2015,26.677
Sweden,SWE,2016,27.057
Switzerland,CHE,1930,1.17
Switzerland,CHE,1960,4.32690778
Switzerland,CHE,1961,4.501247912
Switzerland,CHE,1962,5.189382161
Switzerland,CHE,1963,5.004051698
Switzerland,CHE,1964,5.814888199
Switzerland,CHE,1965,6.011906288
Switzerland,CHE,1966,6.218968922
Switzerland,CHE,1967,6.51146493
Switzerland,CHE,1968,6.584010153
Switzerland,CHE,1969,7.720370677
Switzerland,CHE,1970,7.46759271
Switzerland,CHE,1971,7.718187241
Switzerland,CHE,1972,7.760210678
Switzerland,CHE,1973,9.58543835
Switzerland,CHE,1974,10.14228203
Switzerland,CHE,1975,11.93933065
Switzerland,CHE,1976,12.65016164
Switzerland,CHE,1977,12.76919976
Switzerland,CHE,1978,12.7801094
Switzerland,CHE,1979,12.77455349
Switzerland,CHE,1980,12.769
Switzerland,CHE,1985,13.391
Switzerland,CHE,1990,12.126
Switzerland,CHE,1995,16.067
Switzerland,CHE,2000,16.287
Switzerland,CHE,2005,18.426
Switzerland,CHE,2010,18.431
Switzerland,CHE,2013,19.195
Switzerland,CHE,2014,19.275
Switzerland,CHE,2015,19.608
Switzerland,CHE,2016,19.727
Turkey,TUR,1980,3.968
Turkey,TUR,1985,3.156
Turkey,TUR,1990,5.526
Turkey,TUR,1995,5.595
Turkey,TUR,2000,7.72
Turkey,TUR,2005,10.269
Turkey,TUR,2010,12.838
Turkey,TUR,2013,13.359
Turkey,TUR,2014,13.507
Turkey,TUR,2015,..
Turkey,TUR,2016,..
United Kingdom,GBR,1880,0.86
United Kingdom,GBR,1890,0.83
United Kingdom,GBR,1900,1
United Kingdom,GBR,1910,1.38
United Kingdom,GBR,1920,1.39
United Kingdom,GBR,1930,2.24
United Kingdom,GBR,1960,9.695266922
United Kingdom,GBR,1961,9.937712696
United Kingdom,GBR,1962,10.12661549
United Kingdom,GBR,1963,10.61938825
United Kingdom,GBR,1964,10.44189031
United Kingdom,GBR,1965,11.0674075
United Kingdom,GBR,1966,11.28180096
United Kingdom,GBR,1967,11.91708486
United Kingdom,GBR,1968,12.38000025
United Kingdom,GBR,1969,12.37416384
United Kingdom,GBR,1970,12.529809
United Kingdom,GBR,1971,12.4057028
United Kingdom,GBR,1972,13.17844005
United Kingdom,GBR,1973,12.79034068
United Kingdom,GBR,1974,14.16077486
United Kingdom,GBR,1975,14.83580065
United Kingdom,GBR,1976,15.37234632
United Kingdom,GBR,1977,15.31771467
United Kingdom,GBR,1978,15.62650275
United Kingdom,GBR,1979,15.5457689
United Kingdom,GBR,1980,15.587
United Kingdom,GBR,1985,18.181
United Kingdom,GBR,1990,15.244
United Kingdom,GBR,1995,18.333
United Kingdom,GBR,2000,17.706
United Kingdom,GBR,2005,19.408
United Kingdom,GBR,2010,22.785
United Kingdom,GBR,2013,21.874
United Kingdom,GBR,2014,21.58
United Kingdom,GBR,2015,21.502
United Kingdom,GBR,2016,21.493
United States,USA,1880,0.29
United States,USA,1890,0.45
United States,USA,1900,0.55
United States,USA,1910,0.56
United States,USA,1920,0.7
United States,USA,1930,0.56
United States,USA,1960,6.20326758
United States,USA,1961,6.773312467
United States,USA,1962,6.820596257
United States,USA,1963,6.793083473
United States,USA,1964,6.705333856
United States,USA,1965,6.710177303
United States,USA,1966,6.822748309
United States,USA,1967,7.499537809
United States,USA,1968,7.870623424
United States,USA,1969,7.964243733
United States,USA,1970,8.863118903
United States,USA,1971,9.581854501
United States,USA,1972,9.727942847
United States,USA,1973,9.922069919
United States,USA,1974,10.89176915
United States,USA,1975,12.3828651
United States,USA,1976,12.23132896
United States,USA,1977,12.00061609
United States,USA,1978,11.6358021
United States,USA,1979,11.78846715
United States,USA,1980,12.836
United States,USA,1985,12.837
United States,USA,1990,13.167
United States,USA,1995,15.057
United States,USA,2000,14.25
United States,USA,2005,15.649
United States,USA,2010,19.346
United States,USA,2013,18.816
United States,USA,2014,18.813
United States,USA,2015,18.954
United States,USA,2016,19.321
